Exact age,"Death probability, males","Number of survivors out of 100,000, males","Life expectancy, males","Death probability, females","Number of survivors out of 100,000, females","Life expectancy, females"
34,0.002067,"96,635",44.18,0.001046,"98,239",48.44
35,0.002147,"96,435",43.27,0.001107,"98,136",47.49
36,0.002233,"96,228",42.36,0.001172,"98,028",46.54
37,0.002318,"96,013",41.46,0.001236,"97,913",45.59
38,0.002399,"95,791",40.55,0.001296,"97,792",44.65
39,0.002483,"95,561",39.65,0.001356,"97,665",43.71
40,0.002581,"95,324",38.75,0.001423,"97,532",42.76
41,0.002697,"95,078",37.84,0.001502,"97,394",41.83
42,0.002828,"94,821",36.95,0.001596,"97,247",40.89
43,0.002976,"94,553",36.05,0.001709,"97,092",39.95
44,0.003145,"94,272",35.16,0.00184,"96,926",39.02
45,0.003339,"93,975",34.26,0.001988,"96,748",38.09
46,0.003566,"93,661",33.38,0.002152,"96,556",37.17
47,0.003831,"93,327",32.5,0.002332,"96,348",36.24
48,0.004142,"92,970",31.62,0.002528,"96,123",35.33
49,0.004498,"92,585",30.75,0.002744,"95,880",34.42
50,0.004888,"92,168",29.88,0.00298,"95,617",33.51
51,0.005319,"91,718",29.03,0.00324,"95,332",32.61
52,0.005808,"91,230",28.18,0.003529,"95,023",31.71
53,0.00636,"90,700",27.34,0.003852,"94,688",30.82
54,0.00697,"90,123",26.51,0.004207,"94,323",29.94
55,0.007627,"89,495",25.7,0.00459,"93,926",29.06
56,0.00832,"88,812",24.89,0.004996,"93,495",28.2
57,0.009047,"88,074",24.1,0.005425,"93,028",27.34
58,0.009803,"87,277",23.31,0.005874,"92,523",26.48
59,0.010591,"86,421",22.54,0.006346,"91,980",25.64
60,0.011447,"85,506",21.77,0.00688,"91,396",24.8
61,0.012352,"84,527",21.02,0.007454,"90,767",23.96
62,0.013248,"83,483",20.28,0.008006,"90,091",23.14
63,0.014117,"82,377",19.54,0.008515,"89,370",22.32
64,0.014995,"81,214",18.81,0.009025,"88,609",21.51
65,0.015987,"79,996",18.09,0.00961,"87,809",20.7
66,0.017107,"78,717",17.38,0.01032,"86,965",19.9
67,0.01828,"77,371",16.67,0.011158,"86,067",19.1
68,0.0195,"75,956",15.97,0.012148,"85,107",18.31
69,0.020829,"74,475",15.28,0.013301,"84,073",17.53
70,0.022364,"72,924",14.6,0.014662,"82,955",16.76
71,0.024169,"71,293",13.92,0.01621,"81,739",16
72,0.026249,"69,570",13.25,0.017892,"80,414",15.26
73,0.028642,"67,744",12.59,0.019701,"78,975",14.52
74,0.03138,"65,804",11.95,0.0217,"77,419",13.81
75,0.034593,"63,739",11.32,0.024064,"75,739",13.1
76,0.038235,"61,534",10.71,0.026814,"73,916",12.41
77,0.042159,"59,181",10.12,0.029837,"71,934",11.74
78,0.046336,"56,686",9.54,0.033132,"69,788",11.09
79,0.050917,"54,059",8.98,0.03681,"67,476",10.45
80,0.056205,"51,307",8.43,0.041102,"64,992",9.83
81,0.062327,"48,423",7.91,0.04608,"62,321",9.23
82,0.06919,"45,405",7.4,0.051658,"59,449",8.65
83,0.076844,"42,264",6.91,0.057868,"56,378",8.09
84,0.085407,"39,016",6.44,0.064829,"53,116",7.56
85,0.09501,"35,684",6,0.07269,"49,672",7.05
86,0.10577,"32,293",5.58,0.081578,"46,061",6.56
87,0.117771,"28,878",5.18,0.091587,"42,304",6.1
88,0.131063,"25,477",4.8,0.102774,"38,429",5.67
89,0.145666,"22,138",4.45,0.11516,"34,480",5.26
90,0.161582,"18,913",4.12,0.128749,"30,509",4.88
91,0.178797,"15,857",3.82,0.143532,"26,581",4.53
92,0.197287,"13,022",3.54,0.159491,"22,766",4.2
93,0.217013,"10,453",3.29,0.1766,"19,135",3.9
94,0.23793,"8,184",3.06,0.194825,"15,756",3.63
95,0.258655,"6,237",2.87,0.213248,"12,686",3.39
96,0.278786,"4,624",2.69,0.23157,"9,981",3.18
97,0.297897,"3,335",2.54,0.249466,"7,670",2.98
98,0.315556,"2,341",2.4,0.266589,"5,756",2.81
99,0.331333,"1,603",2.28,0.282585,"4,222",2.65
100,0.3479,"1,072",2.16,0.29954,"3,029",2.49
101,0.365295,699,2.05,0.317512,"2,121",2.35
102,0.38356,444,1.94,0.336563,"1,448",2.21
103,0.402738,273,1.83,0.356756,961,2.07
104,0.422875,163,1.73,0.378162,618,1.94
105,0.444018,94,1.64,0.400852,384,1.82
106,0.466219,52,1.54,0.424903,230,1.7
107,0.48953,28,1.45,0.450397,132,1.59
108,0.514007,14,1.37,0.477421,73,1.48
109,0.539707,7,1.29,0.506066,38,1.38
110,0.566692,3,1.21,0.53643,19,1.28
111,0.595027,1,1.13,0.568616,9,1.19
112,0.624778,1,1.06,0.602733,4,1.1
113,0.656017,0,0.99,0.638896,1,1.02
114,0.688818,0,0.92,0.67723,1,0.94
115,0.723259,0,0.86,0.717864,0,0.87
116,0.759422,0,0.8,0.759422,0,0.8
117,0.797393,0,0.74,0.797393,0,0.74
118,0.837263,0,0.68,0.837263,0,0.68
119,0.879126,0,0.63,0.879126,0,0.63
